  n     O      Ti
 295 1.692533 1.632855
 295 1.69268  1.632499
 295 1.692737 1.632411
 295 1.692791 1.632316
 295 1.692946 1.632104
 295 1.692833 1.632497
 295 1.692881 1.632325
 295 1.692772 1.632332
 295 1.692554 1.632376
 295 1.692663 1.63212
 295 1.692732 1.63205
 295 1.692717 1.63199
 295 1.692733 1.631797
 295 1.692652 1.631769
 295 1.692768 1.631397
 295 1.692793 1.631293
 295 1.69296  1.630851
 295 1.693294 1.629946
 295 1.693209 1.629698
 295 1.693048 1.629342
 295 1.692772 1.628919
