O-O  Ti-Ti O-Ti count
3447 2394 6675 12516
3443 2391 6691 12525
3443 2398 6682 12523
3438 2395 6680 12513
3442 2395 6690 12527
3439 2392 6683 12514
3436 2395 6677 12508
3436 2395 6675 12506
3430 2391 6672 12493
3426 2392 6678 12496
3422 2392 6695 12509
3415 2390 6699 12504
3414 2391 6705 12510
3413 2393 6713 12519
3413 2393 6724 12530
3417 2393 6739 12549
3403 2399 6740 12542
3403 2404 6747 12554
3403 2401 6758 12562
3396 2404 6756 12556
3392 2403 6761 12556
